maxInf; numberOfFirstColumns; columnsPerIteration; infCut; time; loadTime; populateTime; firstColumnsTime; iteration; solvingTime; solutionValue; averageInversedWeights; minInversedWeight; maxInversedWeight; averageTreeSize; minTreeSize; maxTreeSize; percentage; numberOfPeople;
50; 100; 10; 0.1; 327383; 65925; 58675; 103278; 5; 5849; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 100; 10; 0.1; 334100; 65925; 58675; 103278; 6; 4799; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 200; 10; 0.1; 297189; 74813; 86295; 115930; 1; 2172; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 200; 10; 0.1; 315301; 74813; 86295; 115930; 2; 6257; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 200; 10; 0.1; 330917; 74813; 86295; 115930; 3; 4737; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 200; 10; 0.1; 343495; 74813; 86295; 115930; 4; 4743; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 200; 10; 0.1; 356413; 74813; 86295; 115930; 5; 4576; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 200; 10; 0.1; 362905; 74813; 86295; 115930; 6; 4651; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 400; 10; 0.1; 303948; 65341; 86250; 131200; 1; 2326; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 400; 10; 0.1; 322458; 65341; 86250; 131200; 2; 6386; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 400; 10; 0.1; 338294; 65341; 86250; 131200; 3; 5095; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 400; 10; 0.1; 351292; 65341; 86250; 131200; 4; 5114; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
50; 400; 10; 0.1; 364645; 65341; 86250; 131200; 5; 4849; 3821.59; 67.7993; 48.0864; 130.727; 1173; 502; 2160; 1.29922; 12866; 
